iter	Passed	Remaining
0	95	41564
1	104	22672
2	185	26656
3	193	20897
4	202	17432
5	210	15069
6	290	17750
7	299	15974
8	308	14595
9	389	16540
10	398	15365
11	482	17006
12	491	15940
13	499	15009
14	505	14162
15	586	15355
16	594	14608
17	600	13909
18	680	14895
19	689	14299
20	698	13767
21	782	14684
22	790	14164
23	799	13683
24	879	14429
25	887	13955
26	895	13534
27	903	13139
28	981	13736
29	989	13363
30	998	13007
31	1081	13614
32	1089	13276
33	1175	13861
34	1184	13534
35	1193	13226
36	1274	13713
37	1285	13428
38	1292	13119
39	1303	12871
40	1376	13228
41	1386	12969
42	1393	12703
43	1400	12449
44	1468	12726
45	1479	12510
46	1487	12281
47	1496	12064
48	1504	11852
49	1570	12090
50	1578	11885
51	1586	11681
52	1593	11485
53	1666	11757
54	1674	11570
55	1682	11386
56	1690	11211
57	1699	11048
58	1770	11280
59	1777	11110
60	1787	10962
61	1795	10799
62	1867	11026
63	1874	10869
64	1884	10728
65	1891	10575
66	1962	10779
67	1971	10637
68	1982	10515
69	1991	10384
70	2011	10313
71	2070	10438
72	2077	10300
73	2085	10174
74	2093	10047
75	2163	10219
76	2171	10095
77	2180	9979
78	2188	9863
79	2260	10031
80	2268	9912
81	2276	9800
82	2283	9684
83	2289	9568
84	2296	9454
85	2363	9590
86	2371	9487
87	2380	9387
88	2387	9282
89	2456	9418
90	2464	9317
91	2472	9217
92	2478	9114
93	2485	9016
94	2493	8922
95	2562	9047
96	2570	8956
97	2579	8869
98	2586	8778
99	2595	8694
100	2660	8799
101	2670	8717
102	2678	8632
103	2686	8548
104	2753	8653
105	2762	8573
106	2771	8496
107	2779	8415
108	2851	8528
109	2860	8451
110	2868	8372
111	2875	8293
112	2883	8218
113	2892	8143
114	2902	8075
115	2910	8005
116	2984	8111
117	2994	8044
118	3003	7976
119	3012	7907
120	3090	8020
121	3098	7948
122	3107	7883
123	3116	7816
124	3188	7906
125	3195	7837
126	3204	7772
127	3281	7869
128	3290	7805
129	3298	7737
130	3306	7673
131	3381	7762
132	3391	7700
133	3401	7641
134	3481	7737
135	3488	7670
136	3497	7607
137	3577	7699
138	3586	7638
139	3596	7578
140	3677	7667
141	3685	7603
142	3693	7542
143	3700	7479
144	3784	7568
145	3793	7509
146	3801	7448
147	3879	7523
148	3888	7463
149	3895	7402
150	3976	7479
151	3984	7419
152	3994	7363
153	4077	7440
154	4086	7381
155	4093	7321
156	4175	7394
157	4184	7336
158	4273	7418
159	4281	7358
160	4290	7302
161	4370	7365
162	4380	7310
163	4389	7253
164	4469	7313
165	4478	7257
166	4487	7201
167	4494	7143
168	4573	7198
169	4580	7140
170	4588	7084
171	4672	7144
172	4681	7089
173	4690	7035
174	4767	7083
175	4775	7027
176	4783	6972
177	4865	7025
178	4876	6973
179	4883	6918
180	4965	6967
181	4975	6916
182	4982	6861
183	4990	6807
184	5070	6852
185	5165	6915
186	5274	6994
187	5375	7062
188	5385	7009
189	5393	6954
190	5480	7001
191	5488	6946
192	5497	6892
193	5579	6931
194	5587	6877
195	5595	6822
196	5677	6858
197	5686	6806
198	5693	6752
199	5774	6785
200	5783	6732
201	5791	6680
202	5798	6626
203	5875	6652
204	5883	6600
205	6072	6750
206	6270	6906
207	6278	6852
208	6367	6885
209	6379	6834
210	6388	6781
211	6395	6727
212	6475	6748
213	6482	6694
214	6490	6641
215	6570	6661
216	6581	6612
217	6589	6558
218	6668	6576
219	6678	6526
220	6686	6474
221	6765	6491
222	6775	6441
223	6784	6390
224	6865	6407
225	6873	6356
226	6883	6307
227	6964	6322
228	6973	6273
229	6982	6223
230	7063	6238
231	7072	6188
232	7081	6139
233	7158	6149
234	7167	6099
235	7176	6051
236	7258	6064
237	7268	6015
238	7276	5967
239	7358	5978
240	7366	5929
241	7373	5880
242	7455	5891
243	7464	5843
244	7472	5795
245	7481	5747
246	7558	5753
247	7566	5705
248	7573	5657
249	7653	5663
250	7662	5617
251	7670	5570
252	7679	5524
253	7760	5530
254	7771	5485
255	7851	5489
256	7860	5444
257	7868	5398
258	7876	5352
259	7958	5356
260	7966	5310
261	7974	5265
262	8055	5268
263	8069	5226
264	8149	5228
265	8160	5184
266	8169	5140
267	8253	5143
268	8261	5098
269	8352	5104
